,126Summer INTCP,126Fall INTCP,126Winter INTCP,126Spring INTCP,585Summer INTCP,585Fall INTCP,585Winter INTCP,585Spring INTCP
UKESM1-0-LL,34.46,-5.20,8.43,-2.45,22.02,-6.15,4.68,-6.07
TaiESM1,46.87,-3.01,6.99,1.82,42.84,1.42,12.76,8.32
NorESM2-MM,41.14,-8.45,4.56,-8.64,42.91,-3.94,6.43,0.18
NorESM2-LM,47.39,-5.85,3.68,-16.83,45.55,-7.68,9.50,-10.49
NESM3,36.85,-2.15,7.07,-2.11,39.71,-0.36,9.12,-2.62
MRI-ESM2-0,38.57,-11.05,3.99,-4.73,47.01,-10.22,3.53,1.59
MPI-ESM1-2-LR,45.46,-4.23,-0.45,-3.48,41.94,-6.09,4.94,-2.75
MPI-ESM1-2-HR,44.16,-9.64,9.13,-5.78,49.80,-8.43,4.83,0.19
MIROC6,48.68,-9.91,10.09,-11.62,53.33,-11.73,10.70,-6.74
MIROC-ES2L,45.40,-8.53,6.59,-8.35,45.07,-8.24,9.84,-2.96
KIOST-ESM,45.61,-9.91,9.15,2.28,48.55,-5.97,11.47,6.24
KACE-1-0-G,32.09,-1.27,5.72,-3.78,21.14,-3.96,7.42,-3.44
IPSL-CM6A-LR,35.64,-8.11,10.32,-5.29,39.55,-7.50,7.54,-6.51
INM-CM5-0,47.91,-8.20,2.30,-0.41,49.23,-8.68,4.22,-6.65
INM-CM4-8,38.33,-12.83,5.27,-9.28,40.89,-7.81,11.69,-8.49
IITM-ESM,25.87,-6.89,-0.82,-9.64,39.26,-6.49,-6.31,-5.76
HadGEM3-GC31-MM,30.31,-1.58,2.10,-18.14,19.74,-4.27,7.39,-8.39
HadGEM3-GC31-LL,28.94,-4.87,2.24,-5.33,35.48,-2.59,7.47,-1.47
GISS-E2-1-G,39.20,-4.77,13.24,-3.10,45.99,-7.35,6.75,-4.10
GFDL-ESM4,40.95,-3.88,8.21,-2.14,43.32,-4.20,5.67,-5.09
FGOALS-g3,53.04,-11.03,6.19,0.94,29.55,-8.43,10.77,-10.45
EC-Earth3-Veg-LR,39.16,-8.97,10.00,2.40,36.64,-7.20,9.46,-4.65
EC-Earth3,30.05,-9.81,5.65,-13.04,42.28,-3.95,4.51,-2.43
CanESM5,25.87,-6.89,-0.82,-9.64,39.26,-6.49,-6.31,-5.76
CNRM-ESM2-1,31.89,-6.68,6.89,-12.58,43.94,-8.38,7.41,1.61
CNRM-CM6-1,47.51,-9.32,5.63,-6.12,38.80,-2.55,8.25,-5.56
CMCC-ESM2,38.67,-6.19,5.02,-0.24,35.40,-5.98,5.51,-2.23
CMCC-CM2-SR5,44.88,-5.20,9.13,1.66,30.54,-8.40,-1.40,2.07
CESM2,39.48,-4.39,10.02,-6.79,44.77,-6.82,12.12,-7.91
BCC-CSM2-MR,34.53,-8.19,0.70,-5.98,50.79,-11.07,9.64,-4.55
ACCESS-ESM1-5,38.19,-2.19,2.82,3.40,49.08,-14.27,9.29,-4.61
ACCESS-CM2,48.29,-6.29,2.74,-5.94,48.04,-7.15,5.68,-1.74
Mean,39.54,-6.73,5.68,-5.28,40.70,-6.59,6.71,-3.48
