,126Winter INTCP,126Spring INTCP,126Summer INTCP,126Fall INTCP,585Winter INTCP,585Spring INTCP,585Summer INTCP,585Fall INTCP
UKESM1-0-LL,12.58,6.98,34.08,9.23,12.46,10.52,36.32,9.72
TaiESM1,12.58,14.66,34.24,4.86,10.68,15.93,35.21,20.27
NorESM2-MM,12.82,9.08,33.30,1.92,10.46,8.81,37.13,-3.07
NorESM2-LM,12.41,13.01,29.15,1.32,13.72,10.90,35.21,5.13
NESM3,13.03,14.04,37.71,5.68,13.83,9.44,41.25,4.69
MRI-ESM2-0,13.97,8.45,43.02,6.31,14.08,12.72,39.66,4.48
MPI-ESM1-2-LR,13.66,12.44,35.02,6.86,13.25,7.64,35.19,8.05
MPI-ESM1-2-HR,12.57,13.97,27.44,4.33,13.64,15.24,31.53,4.12
MIROC6,14.58,10.30,32.97,2.50,12.55,9.90,34.11,4.87
MIROC-ES2L,12.82,12.89,38.37,3.96,12.86,11.43,32.08,3.50
KIOST-ESM,13.91,7.76,25.99,2.07,13.37,8.40,30.51,8.47
KACE-1-0-G,12.92,9.86,36.54,13.35,13.42,7.87,35.74,11.24
IPSL-CM6A-LR,12.51,13.20,34.62,0.27,13.11,7.04,37.24,1.40
INM-CM5-0,11.59,10.93,37.70,-0.02,13.58,11.57,34.70,6.32
INM-CM4-8,13.43,8.41,29.76,2.93,13.84,10.92,34.97,3.19
IITM-ESM,13.54,14.64,32.42,7.88,13.85,8.14,27.53,5.22
HadGEM3-GC31-MM,12.11,13.47,40.24,7.57,12.77,4.30,37.95,9.00
HadGEM3-GC31-LL,12.17,5.78,32.27,8.93,12.37,10.88,36.44,11.58
GISS-E2-1-G,10.73,13.02,36.96,6.16,11.39,11.99,40.52,7.59
GFDL-ESM4,13.15,11.62,37.62,7.99,11.45,11.14,31.93,0.77
FGOALS-g3,13.63,14.40,32.56,7.82,11.24,10.52,36.13,5.61
EC-Earth3-Veg-LR,12.24,10.63,35.39,2.98,12.66,9.12,35.99,-1.28
EC-Earth3,12.22,11.64,24.03,2.03,12.07,10.03,38.30,0.47
CanESM5,13.80,11.05,25.95,8.80,13.63,5.43,20.85,6.36
CNRM-ESM2-1,11.51,12.12,32.59,2.78,12.40,9.33,35.63,7.38
CNRM-CM6-1,13.12,4.58,31.72,5.08,12.44,11.73,24.13,5.16
CMCC-ESM2,13.98,11.70,35.65,9.34,11.57,6.17,25.95,11.24
CMCC-CM2-SR5,13.80,6.37,28.74,5.90,13.45,7.81,35.29,-2.89
CESM2,12.57,7.49,32.09,7.11,13.93,10.17,34.09,8.76
BCC-CSM2-MR,12.28,12.96,30.85,3.14,9.85,13.03,33.47,4.84
ACCESS-ESM1-5,14.04,12.97,25.91,5.76,13.92,10.44,22.10,1.85
ACCESS-CM2,13.19,8.98,36.59,4.15,12.23,10.70,36.06,7.47
Mean,12.92,10.92,33.17,5.28,12.69,9.98,33.85,5.67
