,126Winter INTCP,126Spring INTCP,126Summer INTCP,126Fall INTCP,585Winter INTCP,585Spring INTCP,585Summer INTCP,585Fall INTCP
UKESM1-0-LL,11.10,13.05,38.47,21.07,10.68,15.93,35.21,20.27
TaiESM1,12.98,19.23,33.73,18.36,13.67,21.19,37.93,19.95
NorESM2-MM,12.72,17.62,21.71,15.50,12.76,17.22,23.91,14.62
NorESM2-LM,14.12,19.08,15.64,15.84,13.09,18.51,8.67,15.54
NESM3,13.22,20.47,22.56,16.61,14.04,19.53,30.44,15.03
MRI-ESM2-0,13.49,18.31,11.56,16.27,13.94,20.69,18.99,16.69
MPI-ESM1-2-LR,15.44,20.47,15.42,16.61,14.59,18.64,24.31,16.90
MPI-ESM1-2-HR,15.96,19.92,24.25,16.53,14.65,19.73,24.46,16.48
MIROC6,12.55,18.47,16.20,16.45,13.52,13.96,21.88,16.95
MIROC-ES2L,11.59,19.14,13.87,16.27,13.06,19.62,21.72,16.77
KIOST-ESM,12.74,19.21,31.56,15.13,13.69,17.31,20.57,15.66
KACE-1-0-G,11.72,15.48,36.56,21.72,11.19,15.75,36.54,21.09
IPSL-CM6A-LR,14.56,18.55,26.77,13.90,12.07,19.70,23.25,15.69
INM-CM5-0,13.03,19.62,11.16,15.84,13.03,19.62,11.16,16.39
INM-CM4-8,13.29,19.70,25.37,15.78,11.54,20.63,16.94,17.30
IITM-ESM,12.91,19.84,25.61,17.46,14.59,17.77,20.42,18.08
HadGEM3-GC31-MM,11.27,18.46,33.87,20.08,11.79,15.53,34.87,20.64
HadGEM3-GC31-LL,11.65,16.26,38.84,19.84,11.22,17.69,36.08,20.41
GISS-E2-1-G,13.13,18.40,23.80,16.71,14.88,17.51,16.24,16.96
GFDL-ESM4,15.40,19.68,21.24,17.34,13.60,19.66,20.26,17.00
FGOALS-g3,12.49,20.13,16.17,17.84,13.32,18.34,2.97,16.59
EC-Earth3-Veg-LR,13.61,16.77,10.80,16.20,13.06,17.48,27.71,15.80
EC-Earth3,12.90,18.47,23.50,16.28,13.10,18.97,17.80,15.49
CanESM5,11.98,18.92,26.73,15.08,14.74,17.83,29.69,16.63
CNRM-ESM2-1,12.59,17.94,19.98,15.81,12.59,18.80,20.59,16.11
CNRM-CM6-1,11.89,20.14,31.39,15.01,10.35,19.51,26.77,15.19
CMCC-ESM2,14.85,19.21,17.89,16.58,10.59,16.68,18.32,17.63
CMCC-CM2-SR5,13.59,17.95,23.84,17.48,7.77,11.12,24.54,11.52
CESM2,13.52,14.95,12.74,17.13,13.39,17.56,20.76,17.92
BCC-CSM2-MR,13.37,20.88,23.80,17.42,14.28,19.56,23.72,16.51
ACCESS-ESM1-5,14.48,20.67,4.48,16.28,12.56,19.64,21.27,14.47
ACCESS-CM2,14.06,18.79,22.02,16.25,14.45,17.37,33.26,15.51
Mean,13.19,18.62,22.55,16.90,12.87,18.09,23.48,16.81
